Id,SalePrice
1461,117040.0
1462,158151.0
1463,187395.0
1464,197364.0
1465,200040.0
1466,174645.0
1467,180448.0
1468,161123.0
1469,194091.0
1470,119699.0
1471,165238.0
1472,98845.0
1473,96271.0
1474,145009.0
1475,110924.0
1476,361056.0
1477,254131.0
1478,313778.0
1479,303111.0
1480,513381.0
1481,332059.0
1482,209729.0
1483,181670.0
1484,163048.0
1485,190812.0
1486,188960.0
1487,330320.0
1488,224934.0
1489,196358.0
1490,247189.0
1491,194845.0
1492,99659.0
1493,184829.0
1494,297776.0
1495,287912.0
1496,238526.0
1497,182858.0
1498,191916.0
1499,171439.0
1500,160475.0
1501,183678.0
1502,141790.0
1503,318226.0
1504,244558.0
1505,232934.0
1506,193004.0
1507,243357.0
1508,202207.0
1509,160279.0
1510,148002.0
1511,170424.0
1512,172142.0
1513,148010.0
1514,165571.0
1515,192490.0
1516,154379.0
1517,174795.0
1518,129896.0
1519,204700.0
1520,129929.0
1521,134952.0
1522,177722.0
1523,117643.0
1524,125125.0
1525,121962.0
1526,114295.0
1527,112888.0
1528,139407.0
1529,159916.0
1530,192941.0
1531,117319.0
1532,91454.0
1533,141369.0
1534,123732.0
1535,143769.0
1536,103722.0
1537,56617.0
1538,154376.0
1539,199996.0
1540,83646.0
1541,139435.0
1542,151217.0
1543,181852.0
1544,83768.0
1545,115331.0
1546,134677.0
1547,134007.0
1548,138173.0
1549,124091.0
1550,141255.0
1551,102387.0
1552,146042.0
1553,143021.0
1554,119349.0
1555,165712.0
1556,83039.0
1557,120248.0
1558,105273.0
1559,60368.0
1560,132412.0
1561,130219.0
1562,128961.0
1563,121490.0
1564,161910.0
1565,152192.0
1566,230812.0
1567,78840.0
1568,248655.0
1569,133519.0
1570,133674.0
1571,107890.0
1572,142348.0
1573,227661.0
1574,119992.0
1575,235537.0
1576,230144.0
1577,173557.0
1578,162299.0
1579,147228.0
1580,195186.0
1581,158642.0
1582,126690.0
1583,287861.0
1584,216461.0
1585,135797.0
1586,77486.0
1587,114796.0
1588,147659.0
1589,96859.0
1590,126442.0
1591,92199.0
1592,118784.0
1593,127265.0
1594,122020.0
1595,118260.0
1596,219979.0
1597,210801.0
1598,226306.0
1599,166143.0
1600,156555.0
1601,61240.0
1602,118603.0
1603,66339.0
1604,256172.0
1605,228750.0
1606,165208.0
1607,175472.0
1608,213829.0
1609,181247.0
1610,150568.0
1611,135344.0
1612,167766.0
1613,161053.0
1614,119383.0
1615,89718.0
1616,78128.0
1617,89690.0
1618,139335.0
1619,139596.0
1620,143595.0
1621,133835.0
1622,148904.0
1623,256668.0
1624,207677.0
1625,113581.0
1626,168025.0
1627,195655.0
1628,278758.0
1629,182816.0
1630,361516.0
1631,239382.0
1632,258251.0
1633,175149.0
1634,184685.0
1635,174965.0
1636,151183.0
1637,211436.0
1638,182910.0
1639,184840.0
1640,239994.0
1641,181731.0
1642,250582.0
1643,225612.0
1644,251677.0
1645,205084.0
1646,160594.0
1647,157380.0
1648,128294.0
1649,137459.0
1650,111987.0
1651,117375.0
1652,98065.0
1653,99309.0
1654,147278.0
1655,134391.0
1656,145893.0
1657,154053.0
1658,149588.0
1659,119814.0
1660,155046.0
1661,441041.0
1662,411838.0
1663,388154.0
1664,590652.0
1665,311632.0
1666,304850.0
1667,403369.0
1668,341643.0
1669,320192.0
1670,358757.0
1671,276506.0
1672,437414.0
1673,290480.0
1674,239464.0
1675,204428.0
1676,200985.0
1677,224775.0
1678,493842.0
1679,411797.0
1680,337466.0
1681,248356.0
1682,333101.0
1683,187266.0
1684,168317.0
1685,170780.0
1686,168074.0
1687,169256.0
1688,182965.0
1689,188984.0
1690,192943.0
1691,182591.0
1692,260253.0
1693,167417.0
1694,185437.0
1695,169926.0
1696,281448.0
1697,172828.0
1698,333233.0
1699,303871.0
1700,263075.0
1701,273850.0
1702,240250.0
1703,240453.0
1704,273843.0
1705,236661.0
1706,215418.0
1707,215808.0
1708,201639.0
1709,258415.0
1710,218182.0
1711,277279.0
1712,261973.0
1713,287859.0
1714,235510.0
1715,210607.0
1716,179731.0
1717,168223.0
1718,135900.0
1719,207968.0
1720,230654.0
1721,149202.0
1722,118150.0
1723,149122.0
1724,202598.0
1725,244212.0
1726,181844.0
1727,157189.0
1728,164338.0
1729,168558.0
1730,142979.0
1731,113976.0
1732,129234.0
1733,106703.0
1734,128689.0
1735,115636.0
1736,103043.0
1737,291059.0
1738,274142.0
1739,229980.0
1740,216292.0
1741,188999.0
1742,179251.0
1743,178535.0
1744,400382.0
1745,215711.0
1746,189741.0
1747,209021.0
1748,220406.0
1749,147554.0
1750,124560.0
1751,236382.0
1752,113556.0
1753,152334.0
1754,194228.0
1755,177081.0
1756,127106.0
1757,119539.0
1758,146854.0
1759,162854.0
1760,159753.0
1761,141656.0
1762,183375.0
1763,186423.0
1764,121428.0
1765,143780.0
1766,193640.0
1767,222517.0
1768,140053.0
1769,166272.0
1770,149944.0
1771,125220.0
1772,135937.0
1773,120549.0
1774,145705.0
1775,142590.0
1776,132974.0
1777,109671.0
1778,141023.0
1779,132271.0
1780,174127.0
1781,129770.0
1782,84270.0
1783,140306.0
1784,105661.0
1785,125684.0
1786,138568.0
1787,161279.0
1788,61775.0
1789,94961.0
1790,89755.0
1791,178300.0
1792,157518.0
1793,132575.0
1794,150299.0
1795,138411.0
1796,134503.0
1797,105770.0
1798,121833.0
1799,107151.0
1800,134736.0
1801,134596.0
1802,128745.0
1803,149670.0
1804,138422.0
1805,133219.0
